period,cond,q,h,nobs,excess,lo,hi,sig
2024 design,seq,0,60,473,5.89,-0.12,11.57,False
2024 design,seq,1,60,435,3.24,-4.11,10.85,False
2024 design,seq,2,60,339,-4.37,-12.38,3.29,False
2024 design,seq,3,60,212,3.68,-8.03,15.15,False
2024 design,seq,4,60,184,-7.42,-37.91,14.28,False
2025 in-sample,width_rel,0,15,409,-1.33,-3.42,1.18,False
2025 in-sample,width_rel,1,15,408,0.97,-1.15,3.17,False
2025 in-sample,width_rel,2,15,407,0.13,-2.04,2.41,False
2025 in-sample,width_rel,3,15,407,0.06,-2.53,2.63,False
2025 in-sample,width_rel,4,15,409,0.48,-3.44,4.03,False
2025 in-sample,width_rel,0,30,395,-2.86,-6.27,0.85,False
2025 in-sample,width_rel,1,30,388,-0.42,-3.98,3.41,False
2025 in-sample,width_rel,2,30,396,-0.82,-3.87,2.03,False
2025 in-sample,width_rel,3,30,394,-2.26,-6.55,1.8,False
2025 in-sample,width_rel,4,30,398,3.39,-2.14,8.76,False
2025 in-sample,width_rel,0,60,358,-4.71,-9.79,0.99,False
2025 in-sample,width_rel,1,60,360,3.09,-2.11,8.27,False
2025 in-sample,width_rel,2,60,348,3.12,-2.02,8.27,False
2025 in-sample,width_rel,3,60,354,-0.25,-6.03,5.36,False
2025 in-sample,width_rel,4,60,366,1.14,-8.68,10.5,False
2025 in-sample,ext,0,15,429,-2.46,-5.37,0.07,False
2025 in-sample,ext,1,15,428,0.06,-1.78,1.85,False
2025 in-sample,ext,2,15,426,1.13,-1.1,3.59,False
2025 in-sample,ext,3,15,427,1.2,-0.91,3.35,False
2025 in-sample,ext,4,15,429,-0.32,-3.05,2.4,False
2025 in-sample,ext,0,30,418,-1.97,-5.86,1.72,False
2025 in-sample,ext,1,30,420,-0.19,-3.36,2.67,False
2025 in-sample,ext,2,30,418,1.33,-2.07,4.5,False
2025 in-sample,ext,3,30,414,0.22,-3.01,3.05,False
2025 in-sample,ext,4,30,398,-2.46,-7.23,2.23,False
2025 in-sample,ext,0,60,384,-2.61,-7.56,2.45,False
2025 in-sample,ext,1,60,379,0.83,-4.39,5.95,False
2025 in-sample,ext,2,60,379,6.15,0.49,11.72,True
2025 in-sample,ext,3,60,370,-0.22,-5.28,5.05,False
2025 in-sample,ext,4,60,363,-1.24,-7.21,4.78,False
2025 in-sample,bar_no,0,15,442,-0.46,-3.22,2.07,False
