date,open,close,high,low,rv,range_pct,trend_eff,acf1,spot_945,ret,gap_pct,rv_cc,expiry,dte,atm_iv,straddle_pct,vrp,year,m,net,gross,credit,ic_maxdd,move_pct,implied_move_pct,z,rv20,regime
2024-01-01,21732.15,21685.35,21834.35,21680.85,4.83626991411806,0.7063268015359732,0.1429409005628457,-0.0865641623541172,21706.15,,,,,,,,,2024,2024-01,,,,,0.09582537667897073,,,,
2024-01-02,21755.6,21661.5,21755.6,21555.65,8.516703264383569,0.9190737097574744,0.0409850864839478,0.0148889817906731,21731.2,-0.1099820846792831,0.3239514234264051,,,,,,,2024,2024-01,,,,,0.32073700485937273,,,,
2024-01-03,21677.0,21523.7,21677.0,21500.35,7.208001319189451,0.8149190386123608,0.0263025210084028,-0.1510731603571091,21570.2,-0.6361516977125281,0.0715555247789767,,,,,,,2024,2024-01,,,,,0.21557519169965733,,,,
2024-01-04,21612.95,21669.6,21685.65,21564.55,4.437712088553207,0.560312220219832,0.0634704830053715,-0.1716591827443223,21612.8,0.6778574315754238,0.4146591896374785,,,,,,,2024,2024-01,,,,,0.26280722534794965,,,,
2024-01-08,21751.55,21511.35,21763.95,21492.9,8.14202022251685,1.246118092733618,0.0822091955646586,0.0835578441673399,21650.15,-0.7302857459297818,0.3781795695352086,,,,,,,2024,2024-01,,,,,0.641104103204837,,,,
2024-01-09,21655.2,21551.95,21724.45,21517.85,8.489485155477652,0.9540433706453978,0.0457096412122144,-0.1117003118162728,21613.75,0.1887375734205498,0.6687167472055444,,,,,,,2024,2024-01,,,,,0.2859290960615324,,,,
2024-01-10,21533.5,21625.4,21641.85,21448.65,8.742563060906697,0.8972066779668753,0.0544925124791997,-0.1323505592386704,21541.75,0.3408044283695899,0.0856071028375704,,,,,,,2024,2024-01,,,,,0.38831571251176644,,,,
2024-01-12,21789.15,21908.25,21928.25,21715.15,6.665520519859092,0.9780096974870454,0.1472801548054126,0.0132669237429443,21742.2,1.3079526852682433,0.7572114273030728,,,,,,,2024,2024-01,,,,,0.7637221624306578,,,,
2024-01-15,22036.95,22110.45,22115.55,21963.55,6.943438401365565,0.6897506233848151,0.0407873736478116,0.0234659781511182,22049.8,0.9229399883605494,0.5874499332443328,,,,,,,2024,2024-01,,,,,0.2750591842102912,,,,
2024-01-16,22088.2,22031.5,22124.15,21969.8,8.150096844009166,0.6987893988645619,0.0248206599713044,-0.2348335713972976,22072.55,-0.35707097775034,0.1006311495243217,,,,,,,2024,2024-01,,,,,0.18597760566857469,,,,
2024-01-17,21674.2,21577.25,21851.5,21550.45,9.054936572444008,1.3889786012863186,0.1631956625737497,-0.0313171614542668,21825.25,-2.061820575085671,1.6217688309919875,,,,,,,2024,2024-01,,,,,1.1362985532811787,,,,
2024-01-18,21426.7,21479.15,21539.4,21285.55,12.084163382254124,1.1847368003472405,0.0358190558363129,-0.1921284211251301,21378.35,-0.4546455178486508,0.697725613783029,,,,,,,2024,2024-01,,,,,0.4715050506704399,,,,
2024-01-19,21603.25,21638.2,21670.6,21575.0,8.34944950135828,0.4425260088181109,0.0263944048079307,-0.0869622682381033,21628.9,0.7404855406289323,0.5777696044768854,,,,,,,2024,2024-01,,,,,0.04299802578957568,,,,
2024-01-20,21698.4,21585.7,21720.3,21541.8,7.340922329454094,0.8226413007410683,0.0529355149181922,-0.1105713696086869,21646.55,-0.2426264661570698,0.278211681193441,,,,,,,2024,2024-01,,,,,0.2811071510240626,,,,
2024-01-23,21725.5,21243.05,21749.25,21193.0,13.260435896867884,2.5603553427999355,0.2197485991216132,-0.1871999721369167,21727.75,-1.587393505885848,0.6476509911654382,,,,,,,2024,2024-01,,,,,2.2307878174224194,,,,
2024-01-24,21195.9,21460.7,21482.35,21137.2,15.113229468871332,1.6283809604687596,0.0613903158388187,-0.0900130820205085,21290.6,1.0245703889036673,0.2219549452644464,,,,,,,2024,2024-01,,,,,0.7989441349703696,,,,
2024-01-25,21456.85,21370.75,21459.0,21247.05,11.118111015938153,0.9877964379673658,0.0423337076597627,-0.0699228136438021,21372.1,-0.4191382387340625,0.0179397689730631,,,,,,,2024,2024-01,,,,,0.006316646468984555,,,,
